Structure Position, Actual Response
Line A: Structure Position, Actual Response - Global RX (SHIP) [°]
Line B: Structure Position, Actual Response - Global RY (SHIP) [°]
Line C: Structure Position, Actual Response - Global RZ (SHIP) [°]

*Time (s),Line A (°),Line B (°),Line C (°)
283,9.8191089630127,5.86528205871582,-0.055039070546627
283.5,9.60830020904541,5.24539947509766,-6.37942254543304E-02
284,9.36150932312012,4.56906604766846,-7.37013667821884E-02
284.5,9.09554386138916,3.89907121658325,-8.21708217263222E-02
285,8.82773876190186,3.29694080352783,-8.70864912867546E-02
285.5,8.57499408721924,2.81730890274048,-8.69755893945694E-02
286,8.35300540924072,2.50274991989136,-8.10607895255089E-02
286.5,8.17552852630615,2.37963223457336,-6.91372528672218E-02
287,8.0536642074585,2.45567345619202,-5.13677448034287E-02
287.5,7.99515581130982,2.71968603134155,-2.81094145029783E-02
288,8.00381851196289,3.14340281486511,2.4292612215504E-04
288.5,8.07924556732178,3.68485546112061,3.32115702331066E-02
289,8.21681118011475,4.29270696640015,7.01317861676216E-02
289.5,8.40795803070068,4.91107797622681,0.110056065022945
290,8.64070892333984,5.48449754714966,0.151685208082199
290.5,8.90037155151367,5.9626579284668,0.193383008241653
291,9.17046356201172,6.3046236038208,0.233253285288811
291.5,9.43373680114746,6.48220157623291,0.269316077232361
292,9.67336177825928,6.48222208023071,0.299722760915756
292.5,9.87408065795898,6.307541847229,0.32304248213768
293,10.0232086181641,5.97660875320435,0.338573157787323
293.5,10.1113443374634,5.52159309387207,0.346516132354736
294,10.1327676773071,4.98522138595581,0.348056524991989
294.5,10.0856170654297,4.41681671142578,0.345178306102753
295,9.97199440002441,3.86794686317444,0.340349465608597
295.5,9.79795742034912,3.38792395591736,0.336047261953354
296,9.57350730895996,3.0194103717804,0.334369659423828
296.5,9.31221389770508,2.7944655418396,0.336716830730438
297,9.03057384490967,2.73150300979614,0.343717753887177
297.5,8.74693298339844,2.83369898796082,0.355347514152527
298,8.48014450073242,3.08909153938293,0.371125042438507
298.5,8.24812412261963,3.47224998474121,0.390362650156021
299,8.06655025482178,3.94710350036621,0.412418514490128
299.5,7.94772434234619,4.47049283981323,0.436711966991425
300,7.8997917175293,4.99607372283936,0.462834715843201
300.5,7.92620229721069,5.47828912734985,0.490443021059036
301,8.02557563781738,5.8762001991272,0.519180357456207
301.5,8.19184589385987,6.15686988830566,0.548529505729675
302,8.41471672058105,6.29805183410645,0.577691197395325
302.5,8.68039226531982,6.28981065750122,0.605612993240356
303,8.97243881225586,6.13497066497803,0.63107043504715
303.5,9.27272987365723,5.84830904006958,0.652974247932434
304,9.56234169006348,5.45471572875977,0.670638620853424
304.5,9.82241630554199,4.98669767379761,0.684048175811768
305,10.0350971221924,4.48167610168457,0.693933725357056
305.5,10.1846542358398,3.97948050498962,0.701643228530884
306,10.2588109970093,3.51990175247192,0.708846032619476
306.5,10.2500467300415,3.13993692398071,0.717170655727386
307,10.1566867828369,2.87072992324829,0.727895796298981
307.5,9.98341083526611,2.73464894294739,0.741706550121307
308,9.74116230010986,2.74320912361145,0.758621513843536
308.5,9.44640445709229,2.89623761177063,0.778120815753937
309,9.11984157562256,3.18209958076477,0.799388885498047
309.5,8.7847146987915,3.57874298095703,0.821519136428833
310,8.46490859985352,4.05540418624878,0.843808829784393
310.5,8.18307113647461,4.57489156723022,0.865883409976959
311,7.95889520645142,5.09641790390015,0.887772619724274
311.5,7.80776929855347,5.57887125015259,0.909862101078033
312,7.73985004425049,5.98419094085693,0.932709753513336
312.5,7.75955438613892,6.28051614761353,0.956779956817627
313,7.86554193496704,6.44478034973145,0.982187390327454
313.5,8.05099964141846,6.46452522277832,1.00854086875916
314,8.30421257019043,6.33870220184326,1.03498506546021
314.5,8.60927486419678,6.0774827003479,1.06039869785309
315,8.94685935974121,5.70117950439453,1.08370912075043
315.5,9.29513645172119,5.2384819984436,1.10418522357941
316,9.63085460662842,4.72423934936523,1.12166631221771
316.5,9.93065547943115,4.19685554504395,1.13659703731537
317,10.1725444793701,3.69533824920654,1.14998137950897
317.5,10.3374452590942,3.25618147850037,1.16325330734253
318,10.41077709198,2.91058826446533,1.17804741859436
318.5,10.3840599060059,2.68270421028137,1.1959890127182
319,10.2562828063965,2.58883547782898,1.21824812889099
319.5,10.0346231460571,2.63661408424377,1.24516272544861
320,9.73425006866455,2.8240430355072,1.27625215053558
320.5,9.37722206115723,3.13904786109924,1.31018817424774
321,8.99051475524902,3.55962800979614,1.34494352340698
321.5,8.60338401794434,4.05516672134399,1.37832403182983
322,8.24471092224121,4.58901357650757,1.40877187252045
322.5,7.94066429138184,5.12157964706421,1.43583059310913
323,7.71291875839233,5.61334419250488,1.46014964580536
323.5,7.57735967636108,6.027663230896,1.4831964969635
324,7.54325914382935,6.33346223831177,1.50669467449188
324.5,7.61281108856201,6.50781726837158,1.53194808959961
325,7.78116226196289,6.53813648223877,1.55950391292572
325.5,8.03677082061768,6.42340040206909,1.58908867835999
326,8.36219501495361,6.17423534393311,1.61977803707123
326.5,8.7351655960083,5.81176614761353,1.65029668807983
327,9.13000869750977,5.36536359786987,1.67940235137939
327.5,9.51923084259033,4.86967086791992,1.70619165897369
328,9.87519931793213,4.36140251159668,1.73044431209564
328.5,10.1719579696655,3.87626719474792,1.75282311439514
329,10.3869457244873,3.44626665115356,1.774773478508
329.5,10.5027627944946,3.09795880317688,1.79827952384949
330,10.5089130401611,2.8518180847168,1.82523131370544
330.5,10.4031496047974,2.7218930721283,1.85682094097137
331,10.1920137405396,2.71525931358337,1.89338421821594
331.5,9.89054203033447,2.83140301704407,1.93428564071655
332,9.52102470397949,3.06193351745605,1.97800958156586
332.5,9.11098194122314,3.39104914665222,2.02254271507263
333,8.69077682495117,3.79683351516724,2.06587958335876
333.5,8.29117679595947,4.25298643112183,2.10648226737976
334,7.94109916687012,4.73060464859009,2.14353013038635
334.5,7.66569805145264,5.19977617263794,2.1770350933075
335,7.48482799530029,5.63094186782837,2.20781230926514
335.5,7.41187381744385,5.99607038497925,2.23722910881042
336,7.45292329788208,6.26980447769165,2.26694011688232
336.5,7.60625219345093,6.43075609207153,2.29847621917725
337,7.862229347229,6.46322154998779,2.33291935920715
337.5,8.20363807678223,6.35920667648315,2.37048125267029
338,8.60652542114258,6.12025260925293,2.41041469573975
338.5,9.04157733917236,5.75844097137451,2.45124650001526
339,9.47596454620361,5.29627847671509,2.49131846427917
339.5,9.87570762634277,4.76572275161743,2.52943134307861
340,10.2085227966309,4.20635461807251,2.56549954414368
340.5,10.4468460083008,3.66249442100525,2.60064458847046
341,10.5705537796021,3.17932820320129,2.6367506980896
341.5,10.569149017334,2.79846334457398,2.67597532272339
342,10.443018913269,2.55353498458862,2.72002649307251
342.5,10.2033977508545,2.46657466888428,2.76952576637268
343,9.87099742889404,2.54572749137878,2.82379651069641
343.5,9.47356986999512,2.78457760810852,2.88102126121521
344,9.04290866851807,3.16305017471313,2.93869233131409
344.5,8.61186981201172,3.64959335327148,2.99415469169617
345,8.21175384521484,4.20435571670532,3.04517483711243
345.5,7.87034940719605,4.78294372558594,3.09037470817566
346,7.61063575744629,5.34036588668823,3.12949919700623
346.5,7.44986391067505,5.83467435836792,3.1634669303894
347,7.39892196655273,6.22986221313477,3.1941249370575
347.5,7.46173143386841,6.49773836135864,3.22395467758179
348,7.6347599029541,6.61888742446899,3.25556135177612
348.5,7.90674304962158,6.58318614959717,3.29117941856384
349,8.25881004333496,6.39038133621216,3.33221888542175
349.5,8.66529178619385,6.05064153671265,3.37924528121948
350,9.09536933898926,5.58481645584106,3.43242073059082
350.5,9.51554584503174,5.02440404891968,3.49159789085388
351,9.8924732208252,4.41079616546631,3.5562264919281
351.5,10.1958894729614,3.7930760383606,3.62528300285339
352,10.4014873504639,3.22426104545593,3.6975417137146
352.5,10.493577003479,2.75624847412109,3.7712779045105
353,10.4666347503662,2.43406867980957,3.84415292739868
353.5,10.3255233764648,2.2906506061554,3.91367745399475
354,10.0846261978149,2.3430438041687,3.97781777381897
354.5,9.76609516143799,2.59036326408386,4.03539657592773
355,9.39745616912842,3.01346898078918,4.08633708953857
355.5,9.00890064239502,3.57636260986328,4.13159561157227
356,8.63052749633789,4.2294602394104,4.17245721817017
356.5,8.28977012634277,4.91432285308838,4.21021413803101
357,8.00948905944824,5.56907892227173,4.24637985229492
357.5,7.80665445327759,6.13402032852173,4.28255701065063
358,7.69177913665772,6.55731534957886,4.32021427154541
358.5,7.66901063919067,6.80030727386475,4.36084413528442
359,7.73669624328613,6.84150695800781,4.40585470199585
359.5,7.88802099227905,6.67862844467163,4.45627546310425
360,8.11156940460205,6.32841825485229,4.51260042190552
360.5,8.39180564880371,5.82471752166748,4.57467699050903
361,8.70977687835693,5.21518135070801,4.64174175262451
361.5,9.04410457611084,4.55689191818237,4.71261501312256
362,9.37221431732178,3.9110324382782,4.78576850891113
